SKU;STOCK;TIMESTAMP
01000400303;2295;2014-03-19 12:34:29
01000400304;1956;2014-03-19 12:34:29
01000400305;721;2014-03-19 12:34:29
01000400313;211;2014-03-19 12:34:29
01000400401;790;2014-03-19 12:34:29
01000400402;1429;2014-03-19 12:34:29
01000400403;1991;2014-03-19 12:34:29
01000400404;1588;2014-03-19 12:34:29
01000400405;602;2014-03-19 12:34:29
01000400413;137;2014-03-19 12:34:29
01000410001;17;2014-03-19 12:34:29
01000410002;106;2014-03-19 12:34:29
01000410003;24;2014-03-19 12:34:29
01000410004;18;2014-03-19 12:34:29
01000410005;94;2014-03-19 12:34:29
01000412001;104;2014-03-19 12:34:29
01000412002;233;2014-03-19 12:34:29
01000412003;216;2014-03-19 12:34:29
01000412004;175;2014-03-19 12:34:29
01000412005;172;2014-03-19 12:34:29
01000414001;131;2014-03-19 12:34:29
01000414002;57;2014-03-19 12:34:29
01000414003;155;2014-03-19 12:34:29
01000414004;81;2014-03-19 12:34:29
01000414005;47;2014-03-19 12:34:29
01000414501;30;2014-03-19 12:34:29
01000414502;148;2014-03-19 12:34:29
01000414503;98;2014-03-19 12:34:29
01000414504;72;2014-03-19 12:34:29
01000414505;114;2014-03-19 12:34:29
01000421001;140;2014-03-19 12:34:29
01000421002;210;2014-03-19 12:34:29
01000421003;172;2014-03-19 12:34:29
01000421004;197;2014-03-19 12:34:29
01000421005;182;2014-03-19 12:34:29
01000422001;135;2014-03-19 12:34:29
01000422002;195;2014-03-19 12:34:29
01000422003;171;2014-03-19 12:34:29
01000422004;90;2014-03-19 12:34:29
01000422005;29;2014-03-19 12:34:29
01000423501;317;2014-03-19 12:34:29
01000423502;434;2014-03-19 12:34:29
01000423503;563;2014-03-19 12:34:29
01000423504;379;2014-03-19 12:34:29
01000423505;179;2014-03-19 12:34:29
01000423601;58;2014-03-19 12:34:29
01000423602;47;2014-03-19 12:34:29
01000423603;109;2014-03-19 12:34:29
01000423604;104;2014-03-19 12:34:29
01000423605;74;2014-03-19 12:34:29
01000431101;69;2014-03-19 12:34:29
01000431102;68;2014-03-19 12:34:29
01000431103;91;2014-03-19 12:34:29
01000431104;39;2014-03-19 12:34:29
01000431105;26;2014-03-19 12:34:29
01000435001;0;2014-03-19 12:34:29
01000435002;0;2014-03-19 12:34:29
01000435003;0;2014-03-19 12:34:29
01000435004;135;2014-03-19 12:34:29
01000435005;16;2014-03-19 12:34:29
01000437001;151;2014-03-19 12:34:29
01000437002;127;2014-03-19 12:34:29
01000437003;131;2014-03-19 12:34:29
01000437004;189;2014-03-19 12:34:29
01000437005;18;2014-03-19 12:34:29
01000441001;124;2014-03-19 12:34:29
01000441002;123;2014-03-19 12:34:29
01000441003;84;2014-03-19 12:34:29
